,locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,cities,updateTime
51,954001,亚洲,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,哈萨克斯坦,618,670,0,46,6,,,1586261007854
52,955005,亚洲,Asia,塞浦路斯,Cyprus,塞浦路斯,Cyprus,塞浦路斯,451,465,0,0,14,,,1586261007854
53,955009,亚洲,Asia,以色列,Israel,以色列,Israel,以色列,8263,9006,0,683,60,,,1586261007854
54,974008,北美洲,North America,海地,Haiti,海地,Haiti,海地,21,21,0,0,0,,,1586261007854
55,985007,非洲,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,塞舌尔,11,11,0,0,0,,,1586261007854
56,0,北美洲,North America,开曼群岛,Cayman Is,开曼群岛,Cayman Is,开曼群岛,34,35,0,0,1,,,1586261007854
57,984009,非洲,Africa,纳米比亚,Namibia,纳米比亚,Namibia,纳米比亚,13,16,0,3,0,,,1586261007854
58,0,北美洲,North America,圣其茨和尼维斯,,圣其茨和尼维斯,,圣其茨和尼维斯,9,9,0,0,0,,,1586261007854
59,955010,亚洲,Asia,约旦,Jordan,约旦,Jordan,约旦,218,349,0,126,5,,,1586261007854
60,985003,非洲,Africa,厄立特里亚,,厄立特里亚,,厄立特里亚,31,31,0,0,0,,,1586261007854
61,0,北美洲,North America,瓜德罗普岛,,瓜德罗普岛,,瓜德罗普岛,127,134,0,0,7,,,1586261007854
62,955019,亚洲,Asia,阿联酋,United Arab Emirates,阿联酋,United Arab Emirates,阿联酋,1898,2076,0,167,11,,,1586261007854
63,973007,南美洲,South America,圭亚那,Guyana,圭亚那,Guyana,圭亚那,25,29,0,0,4,,,1586261007854
64,983002,非洲,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,中非共和国,9,9,0,0,0,,,1586261007854
65,982001,非洲,Africa,贝宁,Benin,贝宁,Benin,贝宁,20,26,0,5,1,,,1586261007854
66,955017,亚洲,Asia,叙利亚,Syria,叙利亚,Syria,叙利亚,14,19,0,2,3,,,1586261007854
67,985010,非洲,Africa,乌干达,Uganda,乌干达,Uganda,乌干达,52,52,0,0,0,,,1586261007854
68,983001,非洲,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,喀麦隆,632,658,0,17,9,,,1586261007854
69,982013,非洲,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,尼日利亚,198,238,0,35,5,,,1586261007854
70,954002,亚洲,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,吉尔吉斯斯坦,191,228,0,33,4,,,1586261007854
71,0,北美洲,North America,圣马丁岛,Sint Maarten,圣马丁岛,Sint Maarten,圣马丁岛,27,29,0,0,2,,,1586261007854
72,974004,北美洲,North America,古巴,Cuba,古巴,Cuba,古巴,312,320,0,0,8,,,1586261007854
73,985002,非洲,Africa,吉布提,Djibouti,吉布提,Djibouti,吉布提,81,90,0,9,0,,,1586261007854
74,974011,北美洲,North America,圣卢西亚,St.Lucia,圣卢西亚,St.Lucia,圣卢西亚,14,14,0,0,0,,,1586261007854
75,973008,南美洲,South America,秘鲁,Peru,秘鲁,Peru,秘鲁,1284,2281,0,914,83,,,1586261007854
76,964005,欧洲,Europe,摩尔多瓦,Moldova,摩尔多瓦,Moldova,摩尔多瓦,918,965,0,30,17,,,1586261007854
77,971002,北美洲,North America,美国,United States of America,美国,United States of America,美国,337537,368449,0,19919,10993,,,1586261007854
78,0,北美洲,North America,格陵兰,,格陵兰,,格陵兰,11,11,0,0,0,,,1586261007854
79,982003,非洲,Africa,乍得,Chad,乍得,Chad,乍得,9,9,0,0,0,,,1586261007854
80,972003,北美洲,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,萨尔瓦多,59,62,0,0,3,,,1586261007854
81,0,欧洲,Europe,法罗群岛,Faroe,法罗群岛,Faroe,法罗群岛,181,181,0,0,0,,,1586261007854
82,985005,非洲,Africa,肯尼亚,Kenya,肯尼亚,Kenya,肯尼亚,148,158,0,4,6,,,1586261007854
83,963003,欧洲,Europe,德国,Germany,德国,Germany,德国,89137,99225,0,8481,1607,,,1586261007854
84,0,大洋洲,Oceania,关岛,Guam,关岛,Guam,关岛,108,112,0,0,4,,,1586261007854
85,963006,欧洲,Europe,波兰,Poland,波兰,Poland,波兰,4144,4413,0,162,107,,,1586261007854
86,972005,北美洲,North America,洪都拉斯,Honduras,洪都拉斯,Honduras,洪都拉斯,246,268,0,0,22,,,1586261007854
87,974006,北美洲,North America,多米尼加,Dominican Republic,多米尼加,Dominican Republic,多米尼加,1420,1488,0,0,68,,,1586261007854
88,981005,非洲,Africa,苏丹,Sudan,苏丹,Sudan,苏丹,8,12,0,2,2,,,1586261007854
89,965015,欧洲,Europe,西班牙,Spain,西班牙,Spain,西班牙,88632,140510,0,38080,13798,,,1586261007854
90,982015,非洲,Africa,塞拉利昂,Sierra Leone,塞拉利昂,Sierra Leone,塞拉利昂,6,6,0,0,0,,,1586261007854
91,0,其他,Others,钻石公主号邮轮,Diamond Princess Cruise Ship,钻石公主号邮轮,Diamond Princess Cruise Ship,钻石公主号邮轮,127,712,0,574,11,,,1586261007854
92,965001,欧洲,Europe,阿尔巴尼亚,Albania,阿尔巴尼亚,Albania,阿尔巴尼亚,239,377,0,116,22,,,1586261007854
