,locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,cities,updateTime
174,985005,非洲,Africa,肯尼亚,Kenya,肯尼亚,Kenya,肯尼亚,134,142,0,4,4,,,1586146615856
175,0,其他,Others,至尊公主邮轮,Grand Princess,至尊公主邮轮,Grand Princess,至尊公主邮轮,21,21,0,0,0,,,1583727001577
176,962002,欧洲,Europe,芬兰,Finland,芬兰,Finland,芬兰,1889,1927,0,10,28,,,1586146615856
177,981005,非洲,Africa,苏丹,Sudan,苏丹,Sudan,苏丹,8,12,0,2,2,,,1586146615856
178,973010,南美洲,South America,苏里南,Suriname,苏里南,Suriname,苏里南,9,10,0,0,1,,,1586146615856
179,961007,欧洲,Europe,英国,United Kingdom,英国,United Kingdom,英国,41757,47806,0,135,5914,,,1586148331253
180,0,欧洲,Europe,英国（含北爱尔兰）,United Kingdom,英国（含北爱尔兰）,United Kingdom,英国（含北爱尔兰）,12,20,0,8,0,,,1582952928516
181,0,北美洲,North America,英属维尔京群岛,,英属维尔京群岛,,英属维尔京群岛,3,3,0,0,0,,,1586085510377
182,961006,欧洲,Europe,荷兰,Netherlands,荷兰,Netherlands,荷兰,13131,17851,0,2954,1766,,,1586146615856
183,0,南美洲,South America,荷兰加勒比地区,,荷兰加勒比地区,,荷兰加勒比地区,2,2,0,0,0,,,1586146615856
184,0,北美洲,North America,荷属圣马丁,,荷属圣马丁,,荷属圣马丁,21,23,0,0,2,,,1586146615856
185,984008,非洲,Africa,莫桑比克,Mozambique,莫桑比克,Mozambique,莫桑比克,10,10,0,0,0,,,1586085510377
186,952008,亚洲,Asia,菲律宾,Philippines,菲律宾,Philippines,菲律宾,3030,3246,0,64,152,,,1586146615856
187,972003,北美洲,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,萨尔瓦多,53,56,0,0,3,,,1586146615856
188,965010,欧洲,Europe,葡萄牙,Portugal,葡萄牙,Portugal,葡萄牙,10937,11278,0,75,266,,,1586146615856
189,0,亚洲,Asia,蒙古,Mongolia,蒙古,Mongolia,蒙古,13,15,0,2,0,,,1586146615856
190,0,北美洲,North America,蒙特塞拉特,,蒙特塞拉特,,蒙特塞拉特,6,6,0,0,0,,,1586146615856
191,965015,欧洲,Europe,西班牙,Spain,西班牙,Spain,西班牙,80261,130759,0,38080,12418,,,1586146615856
192,982001,非洲,Africa,贝宁,Benin,贝宁,Benin,贝宁,17,22,0,5,0,,,1586146615856
193,0,非洲,Africa,赞比亚共和国,,赞比亚共和国,,赞比亚共和国,35,39,0,3,1,,,1586146615856
194,0,非洲,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,15,16,0,1,0,,,1586139686115
195,952011,亚洲,Asia,越南,Vietnam,越南,Vietnam,越南,150,241,0,91,0,,,1586146615856
196,0,其他,Others,钻石公主号邮轮,Diamond Princess Cruise Ship,钻石公主号邮轮,Diamond Princess Cruise Ship,钻石公主号邮轮,127,712,0,574,11,,,1586146615856
197,955003,亚洲,Asia,阿塞拜疆,Azerbaijan,阿塞拜疆,Azerbaijan,阿塞拜疆,547,584,0,32,5,,,1586146615856
198,955001,亚洲,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,阿富汗,330,337,0,0,7,,,1586146615856
199,981001,非洲,Africa,阿尔及利亚,Algeria,阿尔及利亚,Algeria,阿尔及利亚,1059,1251,0,62,130,,,1586148331253
200,965001,欧洲,Europe,阿尔巴尼亚,Albania,阿尔巴尼亚,Albania,阿尔巴尼亚,333,361,0,10,18,,,1586146615856
201,955013,亚洲,Asia,阿曼,Oman,阿曼,Oman,阿曼,235,298,0,61,2,,,1586146615856
202,973001,南美洲,South America,阿根廷,Argentina,阿根廷,Argentina,阿根廷,1268,1554,0,240,46,,,1586146615856
203,955019,亚洲,Asia,阿联酋,United Arab Emirates,阿联酋,United Arab Emirates,阿联酋,1644,1798,0,144,10,,,1586146615856
204,0,北美洲,North America,阿鲁巴,,阿鲁巴,,阿鲁巴,64,64,0,0,0,,,1586146615856
205,951004,亚洲,Asia,韩国,Korea,韩国,Korea,韩国,3500,10284,0,6598,186,,,1586146615856
206,953004,亚洲,Asia,马尔代夫,Maldives,马尔代夫,Maldives,马尔代夫,6,19,0,13,0,,,1586139686115
207,0,欧洲,Europe,马恩岛,Isle of Man,马恩岛,Isle of Man,马恩岛,125,126,0,0,1,,,1586146615856
208,984006,非洲,Africa,马拉维,Malawi,马拉维,Malawi,马拉维,4,4,0,0,0,,,1586146615856
209,0,北美洲,North America,马提尼克,Martinique,马提尼克,Martinique,马提尼克,142,145,0,0,3,,,1586146615856
210,952007,亚洲,Asia,马来西亚,Malaysia,马来西亚,Malaysia,马来西亚,2596,3662,0,1005,61,,,1586146615856
211,0,非洲,Africa,马约特,,马约特,,马约特,145,147,0,0,2,,,1586146615856
212,965019,欧洲,Europe,马耳他,Malta,马耳他,Malta,马耳他,227,227,0,0,0,,,1586146615856
213,984005,非洲,Africa,马达加斯加,Madagascar,马达加斯加,Madagascar,马达加斯加,70,72,0,2,0,,,1586146615856
214,982010,非洲,Africa,马里,Mali,马里,Mali,马里,39,45,0,1,5,,,1586146615856
215,955012,亚洲,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,黎巴嫩,455,527,0,54,18,,,1586146615856
216,965018,欧洲,Europe,黑山,,黑山,,黑山,212,214,0,0,2,,,1586146615856
